"","id","case_","x_","y_","annual_100m","perennial_100m","shrub_100m","annual_500m","perennial_500m","shrub_500m","territory","sex"
"1",1,FALSE,547448.803958926,4809009.36476178,10.25,19.9166666666667,10.5,11.7788778877888,27.2145214521452,9.99339933993399,"HHGS_DS","female"
"2",1,FALSE,548216.222919939,4808102.94387586,18.1666666666667,39.9166666666667,7,16.3576158940397,35.3344370860927,6.94701986754967,"HHGS_DS","female"
"3",1,FALSE,547276.474888346,4791014.92599853,16,22.1538461538462,6.30769230769231,14.9734219269103,23.7774086378738,7.64784053156146,"HHGS_DS","female"
"4",1,FALSE,547084.756568639,4795045.34951369,34.9166666666667,21.8333333333333,6.91666666666667,34.9102990033223,21.9202657807309,8.55813953488372,"HHGS_DS","female"
"5",1,FALSE,549268.308098266,4800590.92443484,23.1666666666667,21.4166666666667,5,19.9527027027027,23.6486486486486,6.04391891891892,"HHGS_DS","female"
"6",1,FALSE,546236.4938691,4788541.21679955,18.6428571428571,23.3571428571429,9.57142857142857,24.751677852349,24.3624161073826,8.57046979865772,"HHGS_DS","female"
"7",1,FALSE,547054.516800628,4802956.55636454,20.0833333333333,37.75,3.75,18.976821192053,41.5,3.90397350993377,"HHGS_DS","female"
"8",1,FALSE,549205.663519157,4802239.71716808,29.1538461538462,22,7.38461538461539,17.3578595317726,31.3578595317726,8.28428093645485,"HHGS_DS","female"
"9",1,FALSE,546623.776415995,4803821.99125588,17.75,38.5,6.58333333333333,16.1461794019934,38.4617940199336,6.15946843853821,"HHGS_DS","female"
"10",1,FALSE,548315.13903079,4808717.53774212,15.3636363636364,38.2727272727273,8,15.8633333333333,38.5133333333333,7.24666666666667,"HHGS_DS","female"
"11",1,FALSE,549794.683465439,4804547.54392878,11.1428571428571,34.9285714285714,12.7857142857143,12.2876254180602,32.2040133779264,13.1070234113712,"HHGS_DS","female"
"12",1,FALSE,546508.054137238,4791605.01872957,15.25,19.1666666666667,8.33333333333333,17.6810631229236,18.8538205980066,7.17940199335548,"HHGS_DS","female"
"13",1,FALSE,549447.113730652,4801801.00823292,13.4166666666667,29.5833333333333,7.25,16.0726072607261,31.980198019802,7.3003300330033,"HHGS_DS","female"
"14",1,FALSE,549124.79999153,4797820.16535353,9.81818181818182,23.0909090909091,14.7272727272727,11.1201298701299,20.5422077922078,20.0941558441558,"HHGS_DS","female"
"15",1,FALSE,546415.294424086,4791650.972907,12.5,21.1428571428571,7.71428571428571,15.0838926174497,19.7718120805369,7.53355704697987,"HHGS_DS","female"
"16",1,FALSE,548462.639613297,4799359.71995745,13,26.3076923076923,12.7692307692308,13.4766666666667,26.03,12.3033333333333,"HHGS_DS","female"
"17",1,FALSE,549376.965583132,4807796.85944318,11.6666666666667,11.0833333333333,3.16666666666667,21.2591362126246,21.2126245847176,5.56146179401993,"HHGS_DS","female"
"18",1,FALSE,547602.973316191,4794050.39669892,23.7692307692308,29.7692307692308,5.69230769230769,23.8624161073826,27.6442953020134,7.17114093959732,"HHGS_DS","female"
"19",1,FALSE,548325.096240031,4797901.55808764,16.5,23.1666666666667,18.25,17.9701986754967,22.182119205298,13.2748344370861,"HHGS_DS","female"
"20",1,FALSE,547898.393080484,4798587.49666766,15.3333333333333,22.1666666666667,7,17.0099667774086,20.9435215946844,7.31229235880399,"HHGS_DS","female"
"21",1,FALSE,548841.215377832,4805607.62485548,5.54545454545455,14.0909090909091,1.72727272727273,10.9800664451827,16.7940199335548,3.28571428571429,"HHGS_DS","female"
"22",1,FALSE,546858.436976288,4793131.8328152,15.0833333333333,33.75,12.75,8.86046511627907,24.1760797342193,9.27906976744186,"HHGS_DS","female"
"23",1,FALSE,546369.003097967,4788498.66823095,26.4166666666667,24.25,7.75,23.5397350993377,24.2483443708609,8.10596026490066,"HHGS_DS","female"
"24",1,FALSE,549868.200824054,4804792.0701112,14.0909090909091,29.2727272727273,17.5454545454545,11.68,24.2166666666667,11.8233333333333,"HHGS_DS","female"
"25",1,FALSE,547014.717749497,4791510.6114747,34.9,14.2,6.6,24.9358108108108,17.3952702702703,7.625,"HHGS_DS","female"
"26",1,FALSE,548807.550406194,4807075.98394129,0,0,0,7.08754208754209,10.8282828282828,2.63636363636364,"HHGS_DS","female"
"27",1,FALSE,547426.842632433,4805498.7450689,10.8333333333333,21,10.4166666666667,14.3145695364238,25.2384105960265,8.76490066225166,"HHGS_DS","female"
"28",1,FALSE,547797.956399557,4798184.85743065,21.3333333333333,15.0833333333333,6.5,21.5335570469799,17.0738255033557,7.03355704697987,"HHGS_DS","female"
"29",1,FALSE,550102.137737995,4802366.555416,12.5833333333333,31.75,10.5,12.2,33.93,10.1133333333333,"HHGS_DS","female"
"30",1,FALSE,548621.462271575,4799602.56154856,15.8,24.2,5.7,14.8775510204082,27.6054421768707,8.10884353741497,"HHGS_DS","female"
"31",1,FALSE,548529.296439213,4806393.08806362,6.91666666666667,29.8333333333333,2.83333333333333,8.07407407407407,17.4680134680135,2.08417508417508,"HHGS_DS","female"
"32",1,FALSE,547032.784818609,4804716.07481861,10.4166666666667,39.9166666666667,8.75,11.6345514950166,35.7607973421927,9.82392026578073,"HHGS_DS","female"
"33",1,FALSE,547924.845354259,4799784.83135902,11.6666666666667,34.25,8.66666666666667,12.4900662251656,32.1655629139073,8.35099337748344,"HHGS_DS","female"
"34",1,FALSE,546363.980568248,4797275.5445924,9.58333333333333,22.9166666666667,24.5,11.6033898305085,25.0372881355932,19.071186440678,"HHGS_DS","female"
"35",1,FALSE,549278.367973279,4808122.81192833,18.6666666666667,40.5,6.08333333333333,21.6511627906977,34.3554817275747,6.91029900332226,"HHGS_DS","female"
"36",1,FALSE,545651.345101005,4791742.6209192,29.8333333333333,18.1666666666667,9,18.5847176079734,20.9235880398671,8.14950166112957,"HHGS_DS","female"
"37",1,FALSE,549382.225850785,4805889.27821057,0,0,0,0,0,0,"HHGS_DS","female"
"38",1,FALSE,547765.252068153,4798542.53741219,22.2142857142857,19.5714285714286,7.14285714285714,17.6275167785235,20.6442953020134,8.10738255033557,"HHGS_DS","female"
"39",1,FALSE,547806.637529587,4798729.16441357,14.9285714285714,23.1428571428571,7.5,15.9697986577181,20.9362416107383,7.38926174496644,"HHGS_DS","female"
"40",1,FALSE,548329.921142936,4804916.95316721,14.2307692307692,46.1538461538462,7.76923076923077,12.6233333333333,41.6633333333333,8.44333333333333,"HHGS_DS","female"
"41",1,FALSE,546871.081645313,4791761.89808744,30.6363636363636,17.1818181818182,8.54545454545454,39.8065573770492,12.216393442623,6.65573770491803,"HHGS_DS","female"
"42",1,FALSE,546076.859832823,4791500.20564022,9.41666666666667,24.9166666666667,7.66666666666667,10.5641891891892,23.9222972972973,7.01013513513514,"HHGS_DS","female"
"43",1,FALSE,547247.50462162,4795939.52345631,15.5,28.4166666666667,8.75,14.5118644067797,22.9152542372881,13.4135593220339,"HHGS_DS","female"
"44",1,FALSE,547930.054850171,4800440.12826262,12.9166666666667,24.3333333333333,10.1666666666667,15.1158940397351,24.3741721854305,8.2682119205298,"HHGS_DS","female"
"45",1,FALSE,548925.190311768,4804107.86612478,13.3636363636364,39.4545454545455,7.72727272727273,13.7377049180328,39.2754098360656,7.23934426229508,"HHGS_DS","female"
"46",1,FALSE,546612.524714771,4793219.64087802,20.8333333333333,31.0833333333333,10.1666666666667,15,30.9568106312292,10.0863787375415,"HHGS_DS","female"
"47",1,FALSE,547778.050433247,4804059.18089835,16.3636363636364,40.7272727272727,5.63636363636364,13.2325581395349,37.2757475083056,8.91029900332226,"HHGS_DS","female"
"48",1,FALSE,547231.111386222,4796949.74314513,17.0714285714286,25.4285714285714,13.9285714285714,14.1912751677852,20.3221476510067,16.9697986577181,"HHGS_DS","female"
"49",1,FALSE,546400.150475214,4790464.85339733,23.7272727272727,22.6363636363636,7.54545454545455,32.3630363036304,18.6204620462046,7.62376237623762,"HHGS_DS","female"
"50",1,FALSE,549343.081066165,4806299.77471994,7.25,10.0833333333333,5.33333333333333,3.53795379537954,5.23102310231023,1.80528052805281,"HHGS_DS","female"
"51",1,FALSE,549384.645492116,4806894.53547881,0,1,0,1.09508196721311,1.99344262295082,0.314754098360656,"HHGS_DS","female"
"52",1,FALSE,549272.80220354,4799993.89284791,15.8333333333333,23.75,7.58333333333333,16.0540540540541,24.7702702702703,8.29391891891892,"HHGS_DS","female"
"53",1,FALSE,548255.550768708,4808753.53415348,14.1538461538462,37.9230769230769,8.23076923076923,16.3377926421405,38.0903010033445,7.49498327759197,"HHGS_DS","female"
"54",1,FALSE,546240.776571852,4796143.01441121,25.6666666666667,24.1666666666667,12.9166666666667,16.108843537415,28.812925170068,15.3741496598639,"HHGS_DS","female"
"55",1,FALSE,546162.493725057,4805818.27965561,22.6666666666667,29.1666666666667,6.25,18.0756578947368,28.8881578947368,8.35197368421053,"HHGS_DS","female"
"56",1,FALSE,547557.093756258,4791425.4536324,12.5833333333333,28.4166666666667,13.75,16.8239202657807,25.843853820598,12.7574750830565,"HHGS_DS","female"
"57",1,FALSE,547358.222255028,4795149.51491802,31.2727272727273,21.6363636363636,9.81818181818182,24.1881188118812,24.1023102310231,11.8217821782178,"HHGS_DS","female"
"58",1,FALSE,549853.173374244,4802249.24931809,12,35.9166666666667,8.25,15.6633663366337,32.6369636963696,8.12541254125412,"HHGS_DS","female"
"59",1,FALSE,547147.612663175,4804803.39845486,11.6666666666667,30.3333333333333,11.75,11.7574750830565,33.4451827242525,9.6843853820598,"HHGS_DS","female"
"60",1,FALSE,546622.548544422,4799747.65470219,15,20.4545454545455,8.36363636363636,17.8032786885246,19.672131147541,8.01639344262295,"HHGS_DS","female"
"61",1,FALSE,546733.274870492,4796865.04204341,10,16.9166666666667,24.4166666666667,10.6812080536913,19.0906040268456,22.8691275167785,"HHGS_DS","female"
"62",1,FALSE,547402.675844627,4796751.58731992,9.91666666666667,17.0833333333333,21.9166666666667,12.1933333333333,18.91,16.3966666666667,"HHGS_DS","female"
"63",1,FALSE,549704.530981924,4804871.15024225,0.5,0.428571428571429,0.214285714285714,6.46308724832215,12.3825503355705,5.8255033557047,"HHGS_DS","female"
"64",1,FALSE,547313.058335256,4796440.82909194,12.6363636363636,23.1818181818182,16,12.91,22.7533333333333,16.2533333333333,"HHGS_DS","female"
"65",1,FALSE,546356.69936218,4788248.94456382,7.81818181818182,12.8181818181818,1.54545454545455,11.0598006644518,20.4617940199336,3.30564784053156,"HHGS_DS","female"
"66",1,FALSE,546905.327416408,4791962.17128488,35,19.6363636363636,9.81818181818182,30.9698996655518,20.3645484949833,10.3645484949833,"HHGS_DS","female"
"67",1,FALSE,548134.066580376,4794594.6863323,14.6666666666667,36.1666666666667,11.0833333333333,17.026936026936,29.2053872053872,9.2020202020202,"HHGS_DS","female"
"68",1,FALSE,547620.033026667,4799783.84664792,13.5,26.1666666666667,11.0833333333333,11.3887043189369,26.375415282392,9.35880398671096,"HHGS_DS","female"
"69",1,FALSE,546628.896571346,4805210.31046927,12.8571428571429,31.8571428571429,11.7142857142857,12.1196013289037,31.4252491694352,11.4418604651163,"HHGS_DS","female"
