"","case_","x_","y_","annual_100m","perennial_100m","shrub_100m","annual_500m","perennial_500m","shrub_500m"
"1",FALSE,549183.830504863,4778842.24837307,6.58333333333333,9.33333333333333,17.5,9.50498338870432,11.3023255813953,21.1162790697674
"2",FALSE,582625.883752831,4772404.57795686,2.54545454545455,6.36363636363636,11.0909090909091,3.22622950819672,9.35081967213115,12.8754098360656
"3",FALSE,580243.747095846,4770784.90050862,12.2727272727273,12.4545454545455,7.81818181818182,11.3645484949833,11.7290969899666,7.60200668896321
"4",FALSE,575557.99085585,4783450.11236458,8.81818181818182,25.3636363636364,10,9.52173913043478,27.819397993311,8.30434782608696
"5",FALSE,549073.698183591,4781637.76112117,13.4545454545455,14.8181818181818,17.4545454545455,14.02,13.5233333333333,19.0533333333333
"6",FALSE,568391.865615872,4791363.47194478,10.75,21.9166666666667,23.3333333333333,10.371237458194,20.819397993311,24.7759197324415
"7",FALSE,555926.584897448,4782064.02068248,6.54545454545455,11.8181818181818,20.2727272727273,7.29096989966555,11.4581939799331,20.3879598662207
"8",FALSE,553219.840576971,4772365.65222925,6.66666666666667,13.9166666666667,11.4166666666667,5.2135593220339,9.96949152542373,13.9050847457627
"9",FALSE,568933.949090676,4796759.17238935,14,26.3333333333333,17.0833333333333,12.3787375415282,27.5083056478405,16.8405315614618
"10",FALSE,589445.23894677,4752609.8585622,18.5,13.1666666666667,8.83333333333333,11.5250836120401,12.5117056856187,11.1471571906355
"11",FALSE,588069.176978723,4757307.87826797,15.2,19.5,14.6,18.9417808219178,16.0376712328767,11.2705479452055
"12",FALSE,612954.521322892,4776147.5140049,10.25,23.9166666666667,4.16666666666667,11.0540540540541,22.1452702702703,5.75675675675676
"13",FALSE,624344.956163299,4763235.79449073,49.7272727272727,10.2727272727273,0,43.2128378378378,12.722972972973,1.66216216216216
"14",FALSE,566990.031406562,4785180.60975019,13.9285714285714,27.5714285714286,3.78571428571429,14.1946308724832,25.5369127516779,5.06375838926174
"15",FALSE,594107.595551954,4784531.29869777,16.25,31.5,1.41666666666667,12.9169435215947,34.1428571428571,1.21262458471761
"16",FALSE,579114.511957871,4763459.74216434,12.4166666666667,6.91666666666667,7.91666666666667,12.3141891891892,9.08108108108108,8.82432432432432
"17",FALSE,592001.210305052,4760783.28328481,13.6363636363636,11.1818181818182,7.27272727272727,22.4362416107383,10.4765100671141,5.23489932885906
"18",FALSE,580342.66289623,4773222.8773357,9.54545454545454,13.2727272727273,11.1818181818182,8.70234113712375,12.123745819398,12.6588628762542
"19",FALSE,547593.494684378,4793164.57717449,11.1818181818182,16.2727272727273,11.2727272727273,17.1833333333333,21.4033333333333,12.9566666666667
"20",FALSE,555537.856915837,4769463.32204212,1.81818181818182,8.09090909090909,24.5454545454545,2.47176079734219,7.49169435215947,21.890365448505
"21",FALSE,566647.700286112,4775723.45467947,10.1666666666667,12.5833333333333,13,10.1166666666667,11.2266666666667,11.6433333333333
"22",FALSE,592876.110026867,4763212.66069327,16.9166666666667,18.5833333333333,4.58333333333333,18.2736486486486,20.1689189189189,2.60810810810811
"23",FALSE,569426.177715258,4802150.18630977,12.5,24.4166666666667,20.5,12.6258278145695,25.0596026490066,20.4437086092715
"24",FALSE,552696.805695467,4787960.41480825,27.1428571428571,13.2142857142857,7,24.6182432432432,17.2533783783784,9.13175675675676
"25",FALSE,564555.201931239,4764654.00333028,6,11.5714285714286,13.7857142857143,5.1510067114094,11.5436241610738,15.5167785234899
"26",FALSE,592176.240743769,4783654.77194426,20.2727272727273,23.5454545454545,0.0909090909090909,18.7257525083612,23.3010033444816,0.471571906354515
"27",FALSE,622955.783718722,4759620.4320873,14.5384615384615,6.61538461538461,26.9230769230769,18.4630872483221,11.5302013422819,18.6308724832215
